"","X1","gender","Age","attitude","deep","stra","surf","Points"
"108",108,"F",22,3.75,4.25,3.75,2.5,21
"109",109,"F",25,4,3.16666666666667,4,2.33333333333333,25
"110",110,"F",21,3.125,3.08333333333333,3.125,3,11
"111",111,"F",22,3.25,4.16666666666667,3.25,3,19
"112",112,"F",25,2.125,2.25,2.125,4,24
"113",113,"F",20,2.875,3.33333333333333,2.875,3.25,28
"114",114,"M",24,1.5,3.08333333333333,1.5,3.5,21
"115",115,"F",20,2.5,2.75,2.5,3.5,24
"116",116,"M",21,3.25,3.25,3.25,3.83333333333333,24
"117",117,"F",20,3.625,4,3.625,2.91666666666667,20
"118",118,"F",20,3.875,3.58333333333333,3.875,2.16666666666667,19
"119",119,"M",31,3.875,4.08333333333333,3.875,1.66666666666667,30
"120",120,"F",20,2.375,4.25,2.375,2.08333333333333,22
"121",121,"F",22,3,3.41666666666667,3,2.83333333333333,16
"122",122,"F",22,3.375,3.08333333333333,3.375,3.41666666666667,16
"123",123,"M",21,2.75,3.5,2.75,3.33333333333333,19
"124",124,"M",22,4.5,3.66666666666667,4.5,2.58333333333333,30
"125",125,"F",21,2.625,4.25,2.625,2.83333333333333,23
"126",126,"F",21,2.75,4.25,2.75,3.33333333333333,19
"127",127,"F",21,3.25,3.83333333333333,3.25,3,18
"128",128,"F",21,4.125,4.41666666666667,4.125,2.58333333333333,28
"129",129,"F",20,3.375,3.5,3.375,2.41666666666667,21
"130",130,"F",21,2.75,3.58333333333333,2.75,3.58333333333333,19
"131",131,"F",25,4.125,3.66666666666667,4.125,2.08333333333333,27
"132",132,"M",21,3.25,2.08333333333333,3.25,4.33333333333333,24
"133",133,"F",24,2.875,4.25,2.875,2.66666666666667,21
"134",134,"F",20,2.875,3.58333333333333,2.875,3,20
"135",135,"M",21,2.375,4,2.375,2.66666666666667,28
"136",136,"F",20,3.875,3.33333333333333,3.875,2.16666666666667,12
"137",137,"F",20,2.125,3.5,2.125,2.66666666666667,21
"138",138,"F",18,4,3.16666666666667,4,2.25,28
"139",139,"F",21,3.25,3.58333333333333,3.25,2.66666666666667,31
"140",140,"F",19,2.625,3.41666666666667,2.625,3.33333333333333,18
"141",141,"F",21,2.75,4.25,2.75,3.5,25
"142",142,"F",20,4,3.25,4,2.75,19
"143",143,"M",21,3,4.41666666666667,3,2,21
"144",144,"F",20,3.375,3.25,3.375,2.83333333333333,16
"145",145,"F",21,3.875,3.91666666666667,3.875,3.5,7
"146",146,"F",20,3.25,3.58333333333333,3.25,2.5,21
"147",147,"F",18,3.375,4.5,3.375,3.16666666666667,17
"148",148,"M",22,4.125,3.58333333333333,4.125,3.08333333333333,22
"149",149,"F",22,3.5,3.66666666666667,3.5,2.91666666666667,18
"150",150,"M",24,2,2.58333333333333,2,3.16666666666667,25
"151",151,"F",19,3.625,4.16666666666667,3.625,2.5,24
"152",152,"F",20,3.375,3.25,3.375,3.83333333333333,23
"153",153,"F",20,2.125,4.33333333333333,2.125,2.25,23
"154",154,"F",17,4.625,3.91666666666667,4.625,3.41666666666667,26
"155",155,"M",19,2.5,2.66666666666667,2.5,3.75,12
"156",156,"F",20,2.875,3.08333333333333,2.875,3,32
"157",157,"F",20,2.75,3.75,2.75,2.58333333333333,22
"158",158,"F",20,4,4.16666666666667,4,3.33333333333333,20
"159",159,"F",20,2.375,4.16666666666667,2.375,2.83333333333333,21
"160",160,"F",19,3.875,3.25,3.875,3,23
"161",161,"F",19,3.375,4.08333333333333,3.375,2.83333333333333,20
"162",162,"F",22,1.75,2.91666666666667,1.75,3.16666666666667,28
"163",163,"M",35,3,3.83333333333333,3,2.75,31
"164",164,"F",18,2.625,3.16666666666667,2.625,3.41666666666667,18
"165",165,"F",19,2.625,3.41666666666667,2.625,3,30
"166",166,"M",21,3.375,4.08333333333333,3.375,2.66666666666667,19
